name,city,country,status.started,status.completed,height,floors,material,function
CITIC Tower,Beijing,China,2012,2018,"528 m / 1,732 ft",109,composite,office
Shimao Hunan Center,Changsha,China,2014,2019,"343 m / 1,125 ft",74,composite,office
Changsha IFS Tower T1,Changsha,China,2013,2017,"452.1 m / 1,483 ft",95,composite,"retail, residential, dining"
Raffles City Chongqing T4N,Chongqing,China,2015,2019,"354.5 m / 1, 163 ft",74,composite,Hotel/Office/Retail
Raffles City Chongqing T3N,Chongqing,China,2013,2019,"354.6 m / 1,163 ft",79,composite,residential/retail
Chongqing World Financial Center,Chongqing,China,2010,2015,"338.9 m / 1,112 ft",72,composite,hotel / office
Eton Place Dalian Tower 1,Dalian,China,2006,2016,283.2 m / 929 feet,80,composite,Hotel/Office
Dalian International Trade Center,Dalian,China,2003,2019,"360.2 m / 1,214 ft",86,composite,mixed-use
Minying International Trade Center T2,Dongguan,China,2014,2021,420.5 m/ 1380 ft,88,composite,Retail
Guangzhou CTF Finance Centre,Guangzhou,China,2010,2016,"530 m / 1,739 ft",111,composite,Hotel / Residential / Office
Guangzhou International Finance Center,Guangzhou,China,2010,2016,"438.6 m / 1,439 ft",111,composite,hotel / residential / office
The Pinnacle,Guangzhou,China,2008,2012,"350 m / 1,149 ft",80,concrete,Office
CITIC Plaza,Guangzhou,China,1993,1996,"390.2 m / 1,280 ft",80,composite,office / retail
Guiyang International Financial Center T1,Guiyang,China,2016,2020,"401.1 m / 1,316 ft",79,composite,Hotel/Office
"Twin Towers Guiyang, East Tower",Guiyang,China,2012,2020,"335 m / 1,099 ft",74,composite,office
"Twin Towers Guiyang, West Tower",Guiyang,China,2012,2020,"335 m / 1,099 ft",74,composite,hotel / office
International Commerce Centre,Hong Kong,China,2002,2010,"484 m / 1,588 ft",108,composite,Hotel/Office
Two International Finance Centre,Hong Kong,China,1996,2003,"412 m / 1,352 ft",88,composite,office
The Center,Hong Kong,China,1995,1998,"345.9 m / 1,135 feet",73,steel,Office
Central Plaza,Hong Kong,China,1989,1992,374 m / 1227 ft,79,concrete,residential
Bank of China Tower,Hong Kong,China,1985,1990,"367.4 m / 1,205 ft",72,composite,Office
YunDing Tower,Jinan,China,2016,2020,"339 m / 1,112 ft",69,concrete,office / hotel
Spring City 66,Kunming,China,2013,2019,"349 m / 1,145 ft",61,composite,Office
Golden Eagle Tiandi Tower A,Nanjing,China,2013,2019,"368.1 m / 1,207 ft",77,composite,hotel / office
Zifeng Tower,Nanjing,China,2005,2010,"450 m / 1,476 ft",66,composite,hotel/office
Nanning Logan Century 1,Nanning,China,2013,2018,381.3 m / 1251 ft,82,composite,"hotel, office"
Guangxi China Resources Tower,Nanning,China,2014,2020,"402.6 m / 1,321 ft",87,composite,hotel/office
Qingdao Hai Tian Center,Qingdao,China,2016,2022,"368.9 m / 1,210 ft",73,composite,hotel / office
