name,city,country,status.started,status.completed,height,floors,material,function,student
The Illinois,Chicago,US,0,0,1609.359985,528,steel,4,
Chicago Spire,Chicago,US,2007,0,609.5999756,150,composite,1,
Miglin-Beitler Skyneedle,Chicago,US,0,0,609.4899902,125,composite,1,
One World Trade Center,New York City,US,2006,2014,541.2999878,94,composite,1,
Central Park Tower,New York City,US,2014,2019,541.0200195,95,concrete,3,
World Trade Building,New York City,US,0,0,518,132,steel,1,
7 South Dearborn,Chicago,US,0,0,477.5499878,112,concrete,2,
Willis Tower,Chicago,US,1970,1974,442.1400146,108,steel,1,
111 West 57th Street,New York City,US,2015,2018,438.2999878,80,concrete,1,
Bank of Southwest Tower,Houston,US,0,0,427.8699951,82,composite,1,
432 Park Avenue,New York City,US,2011,2015,425.5,85,concrete,1,
Trump International Hotel & Tower,Chicago,US,2005,2009,423.2200012,98,concrete,2,
One World Trade Center,New York City,US,1966,1972,417,110,steel,1,
Two World Trade Center,New York City,US,1966,1973,415.1400146,110,steel,1,
2 World Trade Center,New York City,US,2010,0,411,79,composite,1,
2 World Trade Center,New York City,US,2016,2020,403.25,82,composite,1,
30 Hudson Yards,New York City,US,2014,2019,386.6099854,73,steel/concrete,1,
Empire State Building,New York City,US,1930,1931,381,102,steel,1,
Larkin Building,New York City,US,0,0,368.2000122,110,steel,1,
Bank of America Tower,New York City,US,2004,2009,365.7999878,55,composite,1,
Block 142,Houston,US,0,0,356.6199951,0,steel,3,
Stratosphere Tower,Las Vegas,US,1994,1996,350.2200012,0,concrete,1,
Aon Center,Chicago,US,1970,1973,346.2600098,83,steel,1,
John Hancock Center,Chicago,US,1965,1969,343.6900024,100,steel,2,
Comcast Innovation and Technology Center,Philadelphia,US,2014,2018,341.6799927,59,composite,2,
Wilshire Grand Center,Los Angeles,US,2013,2017,334.9700012,73,composite,2,
WITI TV Tower,Shorewood,US,0,1962,329,0,steel,1,
3 World Trade Center,New York City,US,2010,2018,328.8800049,80,composite,1,
53 West 53rd,New York City,US,2015,2018,320.0400085,77,concrete,1,
Signature Tower,Nashville,US,0,0,320,77,concrete,2,
Waterview Tower,Chicago,US,2006,0,319.1400146,89,concrete,2,
Chrysler Building,New York City,US,1928,1930,318.8999939,77,steel,1,
New York Times Tower,New York City,US,2004,2007,318.769989,52,steel,1,
3 Hudson Boulevard,New York City,US,2016,2019,315.1600037,66,composite,2,
Bank of America Plaza,Atlanta,US,1991,1992,311.7999878,55,composite,1,
Empire World Condo Tower,Miami,US,0,0,311.5100098,93,concrete,1,
Empire World Apartment Tower,Miami,US,0,0,311.5,93,concrete,2,
U.S. Bank Tower,Los Angeles,US,1987,1990,310.2900085,73,steel,1,
125 Greenwich Street,New York City,US,2015,2018,310,60,concrete,1,
The Franklin - North Tower,Chicago,US,1987,1989,306.9400024,60,composite,1,
One57,New York City,US,2009,2014,306.0700073,75,steel/concrete,2,
JPMorgan Chase Tower,Houston,US,1978,1982,305.4100037,75,composite,1,
Villa Magna I,Miami,US,0,0,303.2999878,0,concrete,1,
Villa Magna II,Miami,US,0,0,303.2999878,0,concrete,1,
Two Prudential Plaza,Chicago,US,1988,1990,303.2799988,64,concrete,1,
Wells Fargo Plaza,Houston,US,1979,1983,302.3699951,71,steel,1,
4 World Trade Center,New York City,US,2008,2014,297.730011,65,composite,1,
Comcast Center,Philadelphia,US,2005,2008,296.730011,57,composite,1,
311 South Wacker Drive,Chicago,US,1988,1990,292.9200134,65,concrete,1,
70 Pine,New York City,US,1930,1932,290.1700134,67,steel,1,
SNCI NYC Tower,New York City,US,0,0,289.5599976,57,concrete,1,
Key Tower,Cleveland,US,1988,1991,288.6499939,57,composite,1,
One Liberty Place,Philadelphia,US,0,1987,288.0400085,61,steel,1,
30 Park Place,New York City,US,2008,2016,285.6000061,67,concrete,2,
Columbia Center,Seattle,US,1982,1984,284.3800049,76,composite,1,
The Trump Building,New York City,US,1929,1930,282.5499878,71,steel,1,
Bank of America Plaza,Dallas,US,1983,1985,280.7200012,72,composite,1,
Citigroup Center,New York City,US,1974,1977,278.8999939,63,steel,1,
15 Hudson Yards,New York City,US,2014,2018,278.5799866,70,concrete,1,
Dallas Tower,Dallas,US,0,0,278.2799988,0,concrete,2,
Williams Tower,Houston,US,1981,1982,274.6300049,64,steel,1,
425 Park Avenue,New York City,US,2015,2018,272.2000122,42,composite,1,
888 2nd Avenue,Seattle,US,0,0,270.6600037,60,steel,2,
Renaissance Tower,Dallas,US,0,1986,270.0599976,56,steel,1,
10 Hudson Yards,New York City,US,2013,2016,267.6700134,52,composite,1,
Bank of America Corporate Center,Charlotte,US,1989,1992,265.480011,60,concrete,1,
Eight Spruce Street,New York City,US,2006,2011,265.1799927,76,concrete,1,
900 North Michigan Avenue,Chicago,US,0,1989,265,66,concrete/steel,4,
Energy Tower at City Center,Midland,US,0,0,264.9599915,53,composite,3,
SunTrust Plaza,Atlanta,US,1989,1992,264.25,60,concrete,1,
Trump World Tower,New York City,US,1999,2001,262.4400024,72,concrete,1,
